wmdr10-json,wmdr10-cardinality,wmdr10-has_history,records-part1,records-part1-cardinality,description,wmdr10-codelist,records-part1-link-relation,records-part1-link-group
observations[*].deployments[*].dataGeneration[*].sampling.samplingProcedure,0..*,True,properties.wmdr:dataGenerationHistory[*].sampling.samplingProcedure.href,0..*,sampling procedure (WMO code list URI),http://codes.wmo.int/wmdr/SamplingProcedure,related,
observations[*].deployments[*].dataGeneration[*].sampling.samplingStrategy,0..*,True,properties.wmdr:dataGenerationHistory[*].sampling.samplingStrategy.href,0..*,sampling strategy (WMO code list URI),http://codes.wmo.int/wmdr/SamplingStrategy,related,
observations[*].deployments[*].dataGeneration[*].sampling.samplingTimePeriod,0..*,True,properties.wmdr:dataGenerationHistory[*].sampling.samplingTimePeriod,0..*,sampling time period (ISO 8601 duration),,,
observations[*].deployments[*].dataGeneration[*].sampling.temporalSamplingInterval,0..*,True,properties.wmdr:dataGenerationHistory[*].sampling.temporalSamplingInterval,0..*,temporal sampling interval (ISO 8601 duration),,,
observations[*].deployments[*].dataGeneration[*].processing.Processing,0..*,True,properties.wmdr:dataGenerationHistory[*].processing.Processing,0..*,processing block (often empty/null in examples),,,
observations[*].deployments[*].dataGeneration[*].processing.aggregationPeriod,0..*,True,properties.wmdr:dataGenerationHistory[*].processing.aggregationPeriod,0..*,aggregation period (ISO 8601 duration),,,
observations[*].deployments[*].dataGeneration[*].reporting.internationalExchange,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.internationalExchange,0..*,international exchange flag,,,
observations[*].deployments[*].dataGeneration[*].reporting.uom,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.uom.href,0..*,unit of measure for reporting (WMO code list URI),http://codes.wmo.int/wmdr/unit,related,
observations[*].deployments[*].dataGeneration[*].reporting.temporalReportingInterval,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.temporalReportingInterval,0..*,temporal reporting interval (ISO 8601 duration),,,
observations[*].deployments[*].dataGeneration[*].reporting.timeStampMeaning,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.timeStampMeaning.href,0..*,timestamp meaning (WMO code list URI),http://codes.wmo.int/wmdr/TimeStampMeaning,related,
observations[*].deployments[*].dataGeneration[*].reporting.officialStatus,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.officialStatus,0..*,official status flag,,,
observations[*].deployments[*].dataGeneration[*].reporting.numberOfObservationsInReportingInterval,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.numberOfObservationsInReportingInterval,0..*,number of observations in reporting interval,,,
observations[*].deployments[*].dataGeneration[*].reporting.levelOfData,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.levelOfData.href,0..*,level of data (WMO code list URI),http://codes.wmo.int/wmdr/LevelOfData,related,
observations[*].deployments[*].dataGeneration[*].reporting.dataFormat,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.dataFormat.href,0..*,data format (WMO code list URI),http://codes.wmo.int/wmdr/DataFormat,related,
observations[*].deployments[*].dataGeneration[*].reporting.dataPolicy.dataPolicy,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.dataPolicy.dataPolicy.href,0..*,data policy (WMO code list URI),http://codes.wmo.int/wmdr/DataPolicy,related,
observations[*].deployments[*].dataGeneration[*].reporting.dataPolicy.attribution.originator.role,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.dataPolicy.attribution.originator.role.href,0..*,originator role (value or URI),,related,
observations[*].deployments[*].dataGeneration[*].reporting.referenceDatum.VerticalDatum.@gml:id,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.referenceDatum.VerticalDatum.identifier,0..*,vertical datum gml:id,,,
observations[*].deployments[*].dataGeneration[*].reporting.referenceDatum.VerticalDatum.identifier.@codeSpace,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.referenceDatum.VerticalDatum.codeSpace,0..*,vertical datum identifier codespace,,,
observations[*].deployments[*].dataGeneration[*].reporting.referenceDatum.VerticalDatum.remarks,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.referenceDatum.VerticalDatum.remarks,0..*,vertical datum remarks,,,
observations[*].deployments[*].dataGeneration[*].reporting.referenceDatum.VerticalDatum.scope,0..*,True,properties.wmdr:dataGenerationHistory[*].reporting.referenceDatum.VerticalDatum.scope,0..*,vertical datum scope,,,
observations[*].deployments[*].dataGeneration[*].coverage.startMonth,0..*,True,properties.wmdr:dataGenerationHistory[*].coverage.startMonth,0..*,coverage constraint: startMonth,,,
observations[*].deployments[*].dataGeneration[*].coverage.endMonth,0..*,True,properties.wmdr:dataGenerationHistory[*].coverage.endMonth,0..*,coverage constraint: endMonth,,,
observations[*].deployments[*].dataGeneration[*].coverage.startWeekday,0..*,True,properties.wmdr:dataGenerationHistory[*].coverage.startWeekday,0..*,coverage constraint: startWeekday,,,
observations[*].deployments[*].dataGeneration[*].coverage.endWeekday,0..*,True,properties.wmdr:dataGenerationHistory[*].coverage.endWeekday,0..*,coverage constraint: endWeekday,,,
observations[*].deployments[*].dataGeneration[*].coverage.startHour,0..*,True,properties.wmdr:dataGenerationHistory[*].coverage.startHour,0..*,coverage constraint: startHour,,,
observations[*].deployments[*].dataGeneration[*].coverage.endHour,0..*,True,properties.wmdr:dataGenerationHistory[*].coverage.endHour,0..*,coverage constraint: endHour,,,
observations[*].deployments[*].dataGeneration[*].coverage.startMinute,0..*,True,properties.wmdr:dataGenerationHistory[*].coverage.startMinute,0..*,coverage constraint: startMinute,,,
observations[*].deployments[*].dataGeneration[*].coverage.endMinute,0..*,True,properties.wmdr:dataGenerationHistory[*].coverage.endMinute,0..*,coverage constraint: endMinute,,,
observations[*].deployments[*].dataGeneration[*].coverage.diurnalBaseTime,0..*,True,properties.wmdr:dataGenerationHistory[*].coverage.diurnalBaseTime,0..*,coverage constraint: diurnalBaseTime,,,
